aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu
90576687,1994,2.583,120,1,0.867,0.926,0.811
90576754,1992,2.25,91,0,0.946,0.881,0.688
90576758,1992,0.833,87,0,0.819,0.921,0.725
90576759,1993,1.933,93,1,0.935,0.932,0.87
90576837,1992,3.824,119,1,0.975,0.925,0.861
90576844,1994,3.231,122,1,0.821,0.907,0.954
90576919,1993,1.929,103,1,0.864,0.948,0.811
90576925,1992,1.25,102,1,0.846,0.889,0.858
90576942,1992,2,85,1,0.916,0.925,0.878
90576948,1993,1.917,108,0,0.75,0.916,0.988
90577063,1993,2.545,120,1,0.83,0.964,0.929
90577065,1991,1.923,81,1,0.678,0.927,0.886
90577119,1991,2.455,70,1,0.686,0.906,0.793
90577161,1993,4,106,1,0.83,0.964,0.929
90577167,1992,2.8,100,1,0.56,0.911,0.876
90577227,1995,4,118,1,0.992,0.799,0.713
90577256,1992,3.444,106,1,0.861,0.885,0.835
90577259,1991,2.286,111,1,0.861,0.885,0.835
90577267,1992,2.25,81,0,0.56,0.911,0.876
90577322,1992,2.333,111,1,0.641,0.965,0.942
90577411,1994,3.5,112,1,0.976,0.928,0.997
90577516,1991,4,95,1,0.811,0.937,0.876
90577618,1992,2.154,75,1,0.872,0.867,0.821
90577712,1992,2.3,106,0,0.886,0.942,0.756
90577782,1992,3.364,107,1,0.714,0.936,0.82
90577817,1994,3.5,104,1,0.659,0.926,0.897
90577852,1992,3.25,83,1,0.995,0.864,0.92
90577920,1991,2.571,106,1,0.832,0.948,0.874
90577928,1996,2.875,114,1,0.689,0.848,0.673
90577964,1993,3.533,118,1,0.894,0.948,0.815
90578025,1993,3.5,114,1,0.873,0.936,0.728
90578044,1992,3.25,106,1,0.9,0.921,0.804
90578076,1992,1.923,83,1,0.9,0.815,0.837
90578105,1991,2,83,1,0.613,0.903,0.892
90578112,1992,2.5,106,1,0.889,0.937,0.893
90578198,1992,2.667,82,1,0.702,0.956,0.788
90578203,1992,1.857,79,1,0.745,0.906,0.798
90578217,1993,3.167,110,1,0.663,0.951,0.902
90578304,1993,2.333,94,1,0.611,0.957,0.912
90578380,1991,1.769,8,1,0.914,0.932,0.911
90578461,1993,2.5,94,1,0.616,0.916,0.798
90578487,1992,0.313,78,0,0.961,0.93,0.97
90578496,1994,2.333,108,1,0.59,0.823,0.645
90578500,1992,0,75,0,0.777,0.955,0.834
90578505,1992,2.429,79,1,0.695,0.888,0.905
90578576,1993,2.8,114,1,0.828,0.853,0.843
90578618,1992,3.2,110,1,0.557,0.948,0.921
90578620,1994,3.091,111,1,0.984,0.946,0.92
90578787,1993,2.214,74,1,0.924,0.915,0.872
