aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu,avg_peer_gpa
93576538,1992,4,119,1,0.715,0.884,0.65,2.59057781201849
93577157,1992,3.167,94,1,0.995,0.864,0.92,2.59186132511556
93577262,1992,3.167,102,1,0.678,0.927,0.886,2.59186132511556
93578082,1992,2.5,79,1,0.961,0.93,0.97,2.59288906009245
93578142,1992,0.75,90,0,0.899,0.882,0.79,2.59558551617874
93578217,1992,1.833,94,1,0.557,0.948,0.921,2.59391679506934
93578249,1992,1.889,106,1,0.89,0.945,0.903,2.59383050847458
93578290,1992,2.917,79,1,0.543,0.933,0.72,2.59224653312789
93578537,1992,2.2,95,1,0.941,0.925,0.904,2.59335130970724
93578693,1992,1,81,1,0.678,0.945,0.893,2.59520030816641
93579239,1992,1.625,90,1,0.866,0.932,0.948,2.59423728813559
93579267,1992,1.417,104,1,0.733,0.956,0.859,2.59455778120185
93579273,1992,2.083,85,1,0.836,0.948,0.83,2.59353158705701
93579379,1992,1.25,104,1,0.836,0.948,0.83,2.59481510015408
93579982,1992,2.857,104,0,0.941,0.834,0.816,2.59233898305085
93579994,1992,3,112,1,0.738,0.952,0.798,2.5921186440678
93579999,1992,3.25,106,1,0.738,0.952,0.798,2.59173343605547
93614271,1992,2.625,103,1,0.694,0.943,0.963,2.59269645608629
93678779,1992,3.333,103,1,0.986,0.929,0.862,2.59160554699538
94500172,1992,3.583,118,1,0.895,0.952,0.832,2.59122033898305
94500284,1992,2.286,107,1,0.991,0.907,0.857,2.593218798151
94500878,1992,3.167,104,1,0.972,0.946,0.829,2.59186132511556
94500925,1992,3.5,99,1,0.721,0.909,0.743,2.59134822804314
94503030,1992,2.2,114,1,0.697,0.941,0.934,2.59335130970724
94503334,1992,2.5,122,1,0.825,0.92,0.941,2.59288906009245
94503834,1992,2.429,110,1,0.953,0.889,0.618,2.59299845916795
94503902,1992,2.833,106,1,0.807,0.929,0.812,2.59237596302003
94504991,1992,1.286,91,0,0.742,0.925,0.793,2.59475963020031
94506271,1992,1.5,91,1,0.974,0.912,0.74,2.59442989214176
94506340,1992,1.923,83,1,0.574,0.893,0.937,2.5937781201849
94506933,1992,4,119,1,0.979,0.894,0.833,2.59057781201849
94506999,1992,2.615,102,1,0.708,0.894,0.855,2.59271186440678
94508423,1992,3.667,116,1,0.984,0.946,0.92,2.59109090909091
94543807,1992,1.917,94,1,0.877,0.949,0.839,2.5937873651772
94548379,1992,4,115,1,0.904,0.943,0.856,2.59057781201849
94570097,1992,1.667,111,1,0.958,0.929,0.827,2.59417257318952
94570476,1992,2.5,111,1,0.844,0.94,0.963,2.59288906009245
94570696,1992,2.417,108,1,0.646,0.852,0.95,2.59301694915254
94570851,1992,1.9,81,1,0.986,0.892,0.795,2.59381355932203
94570914,1992,3.286,89,1,0.908,0.905,0.872,2.59167796610169
94570920,1992,3.125,106,1,0.51,0.923,0.79,2.59192604006163
94571015,1992,2.5,120,1,0.843,0.913,0.76,2.59288906009245
94571364,1992,3,107,1,0.903,0.887,0.804,2.5921186440678
94572040,1992,3.333,120,1,0.855,0.91,0.856,2.59160554699538
94572208,1992,3.071,104,1,0.814,0.829,0.84,2.5920092449923
94572263,1992,2.267,119,1,0.791,0.944,0.849,2.59324807395994
94572288,1992,2.8,103,1,0.83,0.917,0.84,2.59242681047766
94572567,1992,2.643,111,1,0.797,0.943,0.986,2.5926687211094
94572984,1992,3.6,104,1,0.831,0.957,0.889,2.59119414483821
94573693,1992,1.786,106,1,0.762,0.93,0.93,2.59398921417565
94573699,1992,0.933,108,1,0.804,0.969,0.919,2.59530354391371
94573957,1992,1.786,107,1,0.99,0.913,0.802,2.59398921417565
94574140,1992,3,90,1,0.979,0.959,0.886,2.5921186440678
94574310,1992,1.286,91,1,0.807,0.923,0.828,2.59475963020031
94574414,1992,1.857,83,1,0.732,0.888,0.818,2.59387981510015
94574494,1992,2.917,116,1,0.676,0.861,0.79,2.59224653312789
94574830,1992,3,93,1,0.756,0.905,0.865,2.5921186440678
94575068,1992,0.556,90,1,0.796,0.947,0.979,2.5958844375963
94575116,1992,3.714,106,1,0.645,0.873,0.856,2.59101848998459
94575194,1992,2.667,86,1,0.996,0.821,0.886,2.59263174114022
94575195,1992,3.75,119,1,0.463,0.893,0.938,2.59096302003082
94575387,1992,1.917,120,1,0.641,0.917,0.958,2.5937873651772
94575868,1992,2.375,91,1,0.796,0.947,0.979,2.59308166409861
94575872,1992,3.2,120,1,0.564,0.931,0.991,2.59181047765793
94575876,1992,3.267,119,1,0.564,0.931,0.991,2.59170724191063
94575955,1992,3.714,110,1,0.676,0.908,0.727,2.59101848998459
94575985,1992,3.833,112,1,0.92,0.901,0.862,2.59083513097072
94576216,1992,1.385,116,1,0.964,0.942,0.769,2.59460708782743
94576254,1992,3.643,91,0,0.991,0.864,0.855,2.59112788906009
94576285,1992,0.571,91,0,0.891,0.922,0.894,2.59586132511556
94576344,1992,3,91,1,0.792,0.915,0.97,2.5921186440678
94576537,1992,2.714,110,1,0.531,0.885,0.832,2.5925593220339
94576685,1992,2.167,106,0,0.931,0.91,0.737,2.59340215716487
94577061,1992,3.5,102,1,0.738,0.906,0.775,2.59134822804314
94577264,1992,1.083,79,1,0.894,0.948,0.815,2.59507241910632
94577921,1992,3.143,116,1,0.911,0.964,0.869,2.59189830508475
94578096,1992,3.333,110,1,0.877,0.957,0.834,2.59160554699538
94578101,1992,2.667,104,1,0.763,0.959,0.992,2.59263174114022
94578142,1992,2.222,89,1,0.846,0.946,0.858,2.59331741140216
94578218,1992,1.167,82,1,0.855,0.936,0.904,2.59494298921418
94578383,1992,3.214,87,1,0.818,0.855,0.957,2.59178890600924
94578421,1992,3.75,106,1,0.815,0.875,0.887,2.59096302003082
94578643,1992,3.667,103,1,0.961,0.909,0.873,2.59109090909091
94578804,1992,2.167,77,1,0.342,0.92,0.951,2.59340215716487
94578899,1992,4,118,1,0.555,0.932,0.832,2.59057781201849
94579292,1992,1.857,86,1,0.795,0.938,0.838,2.59387981510015
94579944,1992,1.167,118,1,0.979,0.921,0.697,2.59494298921418
94593905,1992,3.8,104,1,0.854,0.963,0.948,2.59088597842835
94619063,1992,2.938,106,1,0.905,0.955,0.977,2.59221417565485
94619369,1992,2.733,116,1,0.764,0.847,0.51,2.59253004622496
94619867,1992,3.6,83,1,0.764,0.847,0.51,2.59119414483821
94619869,1992,3.467,120,1,0.875,0.87,0.801,2.59139907550077
94676322,1992,2.857,112,1,0.641,0.691,0.622,2.59233898305085
94678379,1992,2.667,107,1,0.883,0.915,0.832,2.59263174114022
95500036,1992,2.417,107,1,0.723,0.922,0.82,2.59301694915254
95504484,1992,2.286,114,1,0.854,0.909,0.862,2.593218798151
95504608,1992,2.083,107,1,0.396,0.905,0.9,2.59353158705701
95504947,1992,3.417,118,1,0.959,0.974,0.826,2.59147611710324
95507059,1992,1.455,103,1,0.934,0.856,0.914,2.59449922958398
95507311,1992,1.077,103,1,0.723,0.915,0.764,2.59508166409861
95508271,1992,3.333,118,1,0.896,0.937,0.883,2.59160554699538
95508323,1992,1.111,89,1,0.751,0.906,0.863,2.59502927580894
95540910,1992,3.833,116,1,0.771,0.944,0.84,2.59083513097072
95544983,1992,2.733,107,1,0.717,0.937,0.814,2.59253004622496
95570450,1992,1.667,90,0,0.993,0.925,0.887,2.59417257318952
95570588,1992,2.857,116,1,0.953,0.927,0.824,2.59233898305085
95571669,1992,1.714,110,1,0.976,0.912,0.848,2.5941001540832
95571819,1992,4,106,1,0.843,0.913,0.76,2.59057781201849
95572107,1992,1.625,107,1,0.814,0.829,0.84,2.59423728813559
95572111,1992,2.462,111,1,0.731,0.93,0.825,2.59294761171032
95572291,1992,3.571,110,1,0.921,0.938,0.836,2.59123882896764
95572402,1992,3.286,119,1,0.651,0.921,0.752,2.59167796610169
95572405,1992,3.143,111,1,0.591,0.874,0.864,2.59189830508475
95572443,1992,2.714,90,1,0.855,0.91,0.856,2.5925593220339
95572847,1992,2.333,91,1,0.936,0.939,0.737,2.59314637904468
95572925,1992,1.111,104,1,0.975,0.923,0.908,2.59502927580894
95573233,1992,3.4,116,1,0.638,0.934,0.402,2.59150231124807
95573294,1992,3,108,1,0.783,0.938,0.705,2.5921186440678
95573415,1992,2.625,119,1,0.621,0.925,0.818,2.59269645608629
95573956,1992,3.412,107,1,1,0.944,0.902,2.59148382126348
95573957,1992,2.867,108,1,0.923,0.949,0.873,2.59232357473035
95573958,1992,3.167,108,1,0.982,0.903,0.795,2.59186132511556
95574333,1992,1.125,111,1,0.876,0.927,0.8,2.59500770416025
95574415,1992,2.071,115,1,0.864,0.925,0.824,2.5935500770416
95574502,1992,1.583,111,1,0.806,0.946,0.952,2.59430200308166
95575026,1992,3.167,98,1,0.563,0.921,0.895,2.59186132511556
95575062,1992,3.556,108,1,0.728,0.98,0.964,2.59126194144838
95575134,1992,1.778,106,1,0.887,0.887,0.871,2.59400154083205
95575166,1992,2.778,110,1,0.678,0.944,0.888,2.59246070878274
95575259,1992,2.857,82,1,0.891,0.946,0.906,2.59233898305085
95575357,1992,2.286,90,1,0.698,0.958,0.824,2.593218798151
95575462,1992,3.375,116,1,0.588,0.934,0.975,2.59154083204931
95575621,1992,4,108,1,0.605,0.939,0.835,2.59057781201849
95576114,1992,3.8,115,1,0.963,0.943,0.805,2.59088597842835
95576158,1992,1.538,115,1,0.927,0.917,0.864,2.59437134052388
95576307,1992,3.75,115,1,0.944,0.919,0.863,2.59096302003082
95576447,1992,1.273,89,0,0.916,0.925,0.878,2.59477966101695
95576817,1992,3.5,115,1,0.964,0.942,0.769,2.59134822804314
95576898,1992,2.769,10,1,0.713,0.924,0.859,2.59247457627119
95578642,1992,3.429,104,1,0.77,0.937,0.81,2.59145762711864
95578685,1992,1.867,110,1,0.824,0.893,0.739,2.59386440677966
95578818,1992,2,91,1,0.889,0.937,0.893,2.5936594761171
95578995,1992,1.667,90,1,0.702,0.956,0.788,2.59417257318952
95579237,1992,2,94,1,0.866,0.932,0.948,2.5936594761171
95579293,1992,3,106,1,0.591,0.958,0.878,2.5921186440678
95579941,1992,2,86,1,0.979,0.921,0.697,2.5936594761171
95579978,1992,2.083,103,1,0.346,0.923,0.858,2.59353158705701
